port,vlan
1,714
2,"351, 418"
3,"200, 351, 414, 418, 714, 809"
4,"351, 414, 809"
5,"414, 714"
6,"414, 714"
7,"418, 714"
8,"414, 714"
9,"414, 714"
10,"414, 714"
11,"414, 714"
12,"414, 714"
13,"414, 714"
14,"414, 714"
15,"414, 714"
16,"414, 714"
17,"418, 714"
18,"414, 714"
19,"414, 714"
20,"414, 714"
21,"414, 714"
22,"414, 714"
23,"414, 714"
24,"414, 714"
25,"414, 714"
26,"414, 714"
27,"414, 418, 714"
28,"414, 418, 714"
29,"414, 418, 714"
30,"414, 418, 714"
31,"414, 418, 714"
32,"414, 714"
33,"200, 414, 418, 714"
34,"414, 714"
35,"414, 714"
36,"414, 714"
37,"414, 714"
38,"414, 418, 714"
39,"414, 714"
40,"414, 714"
41,"414, 714"
42,"414, 714"
43,"414, 714"
44,"414, 714"
45,"414, 418, 714"
46,"414, 714"
47,"414, 714"
48,"200, 351, 414, 418, 714, 809"
49,"414, 714"
